feature,importance,importance_pct
brand,0.60806966,60.806973
industry,0.11166268,11.166268
content_type,0.0951523,9.515231
nbrhashtags,0.044586074,4.4586077
followers,0.043340694,4.3340697
captionlength,0.039329734,3.9329739
hour,0.032124527,3.2124531
dayofweek,0.025734292,2.5734293
