feature,coefficient,abs_coef
brand_papajohnstn,0.9491408836677481,0.9491408836677481
brand_therapybylk,0.9347687581332537,0.9347687581332537
brand_kfctunisie,0.7222542180966887,0.7222542180966887
brand_movenpicklactunis,0.663637970205965,0.663637970205965
brand_la_salle_a_manger,-0.5523129069442149,0.5523129069442149
brand_elfirma.tunis,-0.5496115689239899,0.5496115689239899
brand_baguettebaguette,0.49648862016916673,0.49648862016916673
brand_vie.tunis,-0.4924876300427354,0.4924876300427354
brand_the716lac2,-0.36955041046286535,0.36955041046286535
brand_yvesrocher_tunisie,-0.31064659574435427,0.31064659574435427
brand_kastelo.com.tn,-0.29708559419331626,0.29708559419331626
brand_zara,0.2814179489509025,0.2814179489509025
brand_hiltonskanesmonastir,-0.25260451796645556,0.25260451796645556
industry_patisserie,-0.24604142638992685,0.24604142638992685
brand_freya.tn,0.2219417836132746,0.2219417836132746
brand_my_story_cosmetics,0.22109007415542398,0.22109007415542398
content_type_reel,0.21845423979089834,0.21845423979089834
industry_hotels,-0.20802241655919948,0.20802241655919948
industry_restaurants,0.1819314838078969,0.1819314838078969
log_followers,-0.1766979421175302,0.1766979421175302
brand_ha.hamadiabid,-0.15890755356413805,0.15890755356413805
brand_labeylicale,-0.15566903878047356,0.15566903878047356
brand_tunismarriott,-0.1485500872826989,0.1485500872826989
brand_biodermatunisie,-0.1423200572371419,0.1423200572371419
brand_mamie.karima,0.12229530845550748,0.12229530845550748
brand_zen.tunisie,-0.12172676857203385,0.12172676857203385
brand_floraison.official,-0.1146830128364762,0.1146830128364762
brand_bershka,0.1110799759340559,0.1110799759340559
brand_pullandbear,0.10943180710778261,0.10943180710778261
brand_soussepearlmarriott,-0.09727318641882582,0.09727318641882582
content_type_photo,-0.09670036332730866,0.09670036332730866
nbrhashtags,-0.08249908405890176,0.08249908405890176
brand_el_mouradi_hotels,-0.0821051329465863,0.0821051329465863
brand_theresidencetunis,-0.08135266650299494,0.08135266650299494
captionlength,0.07961938179991346,0.07961938179991346
brand_maisonturki,-0.07515904300282827,0.07515904300282827
brand_mango,0.06493369839982821,0.06493369839982821
brand_radissonblutunis,-0.0648811001979302,0.0648811001979302
brand_patisseriemasmoudi,-0.06129258048953698,0.06129258048953698
brand_patisserierekik,-0.05632107656629841,0.05632107656629841
brand_movenpick_hotel_gammarth,-0.05355912629295296,0.05355912629295296
brand_la_badira,-0.04713156125167556,0.04713156125167556
brand_fstunis,-0.044203007905043,0.044203007905043
hashtags_squared,0.039692585550838974,0.039692585550838974
reel_evening,0.03910495717732994,0.03910495717732994
brand_lamaisongourmandise,-0.03907013277355184,0.03907013277355184
brand_patisserie.sakka,0.03821280746862593,0.03821280746862593
brand_legolfe.restaurant,-0.021989721751900313,0.021989721751900313
brand_patisserie_h_by_omar,-0.019037670701368012,0.019037670701368012
brand_nuxetunisie,0.01386148371326451,0.01386148371326451
industry_fashion,-0.009410246588911687,0.009410246588911687
hour_sin,-0.004157357062085643,0.004157357062085643
hour_cos,-0.001796109111651345,0.001796109111651345
brand_lellacosmetics,0.00150351848752317,0.00150351848752317
brand_chedly_sisters,0.0014462393480040858,0.0014462393480040858
