industry,brand,content_type,hour,dayofweek,nbrhashtags,captionlength,followers,engagementRate
patisserie,patisseriemasmoudi,reel,19,0,5,287,146846,0.1123626111708865
patisserie,patisseriemasmoudi,carousel,17,6,4,179,146846,0.0238344932786728
patisserie,patisseriemasmoudi,reel,13,5,5,243,146846,0.0864851613254702
patisserie,patisseriemasmoudi,reel,17,2,5,223,146846,0.08035629162524
patisserie,patisseriemasmoudi,photo,22,2,5,168,146846,0.0204295656674339
patisserie,patisseriemasmoudi,reel,19,1,5,202,146846,0.0340492761123898
patisserie,patisseriemasmoudi,reel,16,2,5,298,146846,0.0326873050678942
patisserie,patisseriemasmoudi,reel,19,3,5,273,146846,0.023153507756425
patisserie,patisseriemasmoudi,reel,17,3,5,373,146846,0.0286013919344074
patisserie,patisseriemasmoudi,reel,17,5,4,256,146846,0.137559075494055
patisserie,patisseriemasmoudi,reel,14,5,5,192,146846,0.2117864974190648
patisserie,patisseriemasmoudi,reel,17,0,5,313,146846,0.0122577394004603
patisserie,patisseriemasmoudi,reel,16,3,10,323,146846,0.0640126390912929
patisserie,patisseriemasmoudi,reel,15,3,10,296,146846,0.0469880010350979
patisserie,patisseriemasmoudi,reel,17,2,10,276,146846,0.2042956566743391
patisserie,patisseriemasmoudi,reel,17,5,9,257,146846,0.0537978562575759
patisserie,patisseriemasmoudi,reel,12,0,10,273,146846,0.0626506680467973
patisserie,patisseriemasmoudi,reel,17,2,0,274,146846,0.2158724105525516
patisserie,patisseriemasmoudi,carousel,15,0,9,204,146846,0.0360922326791332
patisserie,patisseriemasmoudi,reel,19,1,5,201,146846,0.1130435966931343
patisserie,patisseriemasmoudi,reel,18,3,7,255,146846,0.0197485801451861
patisserie,patisseriemasmoudi,reel,18,3,10,308,146846,0.0170246380561949
patisserie,patisseriemasmoudi,reel,13,5,9,341,146846,0.0844422047587268
patisserie,patisseriemasmoudi,reel,14,6,5,194,146846,0.1110006401263909
patisserie,patisseriemasmoudi,photo,8,4,10,552,146846,0.0211105511896817
patisserie,patisseriemasmoudi,reel,17,1,5,286,146846,0.0667365811802841
patisserie,patisseriemasmoudi,reel,19,6,5,126,146846,0.1300682347493292
patisserie,patisseriemasmoudi,reel,19,3,5,163,146846,0.0360922326791332
patisserie,patisseriemasmoudi,reel,19,5,10,545,146846,0.0674175667025319
patisserie,patisseriemasmoudi,reel,14,5,9,231,146846,0.1014668428149217
patisserie,patisseriemasmoudi,reel,15,3,10,425,146846,0.0394971602903722
patisserie,patisseriemasmoudi,carousel,17,1,5,335,146846,0.1498168148945153
patisserie,patisseriemasmoudi,reel,15,3,10,269,146846,0.0503929286463369
patisserie,patisseriemasmoudi,reel,16,2,6,285,146846,0.0381351892458766
patisserie,patisseriemasmoudi,reel,15,5,10,535,146846,0.2015717145853479
patisserie,patisseriemasmoudi,photo,9,4,5,849,146846,0.0074908407447257
patisserie,patisseriemasmoudi,reel,20,6,10,347,146846,0.2049766421965869
patisserie,patisseriemasmoudi,reel,18,2,9,234,146846,0.0667365811802841
patisserie,patisseriemasmoudi,reel,18,2,10,363,146846,0.0817182626697356
patisserie,patisseriemasmoudi,reel,18,4,0,129,146846,0.0347302616346376
patisserie,patisserie_h_by_omar,photo,15,6,0,137,613877,0.0045611743069051
patisserie,patisserie_h_by_omar,carousel,16,2,0,51,613877,0.036489394455241
patisserie,patisserie_h_by_omar,reel,16,6,0,262,613877,0.010099743108147
patisserie,patisserie_h_by_omar,carousel,11,1,0,135,613877,0.060109761401714
patisserie,patisserie_h_by_omar,reel,18,1,0,217,613877,0.0500100182935669
patisserie,patisserie_h_by_omar,reel,10,4,0,61,613877,0.0464262384809986
patisserie,patisserie_h_by_omar,reel,12,2,0,298,613877,0.5167158893393953
patisserie,patisserie_h_by_omar,reel,17,3,0,193,613877,0.0224800733697467
patisserie,patisserie_h_by_omar,reel,16,6,0,172,613877,0.0532679999413563
patisserie,patisserie_h_by_omar,carousel,15,0,0,78,613877,0.0073304587075261
patisserie,patisserie_h_by_omar,reel,13,3,5,287,613877,3.689501317039081
patisserie,patisserie_h_by_omar,reel,14,2,4,228,613877,0.599305724110856
patisserie,patisserie_h_by_omar,reel,12,4,0,272,613877,0.5976767332869614
patisserie,patisserie_h_by_omar,photo,10,0,0,203,613877,0.0591323669073772
patisserie,patisserie_h_by_omar,reel,14,4,0,33,613877,0.0278557430885991
patisserie,patisserie_h_by_omar,reel,13,2,0,111,613877,0.0203623852986836
patisserie,patisserie_h_by_omar,carousel,13,1,0,111,613877,0.0058643669660208
patisserie,patisserie_h_by_omar,reel,16,6,0,185,613877,0.0345346054665674
patisserie,patisserie_h_by_omar,reel,16,1,0,140,613877,0.5154126966802796
patisserie,patisserie_h_by_omar,reel,11,6,0,238,613877,0.0206881834634625
patisserie,patisserie_h_by_omar,reel,11,3,0,178,613877,0.0216655779577993
patisserie,patisserie_h_by_omar,reel,12,0,0,93,613877,0.0182446972276205
patisserie,patisserie_h_by_omar,reel,11,3,0,73,613877,0.0123803302615996
patisserie,patisserie_h_by_omar,reel,11,2,0,222,613877,0.225126531862246
patisserie,patisserie_h_by_omar,photo,15,4,0,128,613877,0.0078191559546945
patisserie,patisserie_h_by_omar,reel,12,0,0,205,613877,0.0125432293439891
patisserie,patisserie_h_by_omar,reel,19,3,0,127,613877,0.0143351192502732
patisserie,patisserie_h_by_omar,reel,11,3,0,163,613877,0.0259009540999255
patisserie,patisserie_h_by_omar,reel,12,5,0,204,613877,0.0387699816086936
patisserie,patisserie_h_by_omar,reel,11,3,0,204,613877,0.0645080366262296
patisserie,patisserie_h_by_omar,reel,9,1,0,87,613877,0.0731416879928715
patisserie,patisserie_h_by_omar,reel,20,1,0,96,613877,0.0154754128269995
patisserie,patisserie_h_by_omar,reel,12,6,0,176,613877,0.0708611008394189
patisserie,patisserie_h_by_omar,reel,11,2,0,112,613877,0.0154754128269995
patisserie,patisserie_h_by_omar,reel,20,4,0,140,613877,0.0345346054665674
patisserie,patisserie_h_by_omar,reel,18,1,0,85,613877,0.2863765868406863
patisserie,patisserie_h_by_omar,reel,11,1,0,139,613877,0.0151496146622206
patisserie,patisserie_h_by_omar,reel,13,1,0,73,613877,0.1778857979693
patisserie,patisserie_h_by_omar,reel,12,3,0,145,613877,0.0138464220031048
patisserie,patisserie_h_by_omar,reel,18,3,0,59,613877,0.1997142750094888
patisserie,patisserie_h_by_omar,reel,15,6,0,153,613877,0.0250864586879782
patisserie,patisserie_h_by_omar,reel,12,5,0,168,613877,0.01531251374461
patisserie,patisserie_h_by_omar,reel,10,5,0,157,613877,0.0394215779382514
patisserie,patisserie_h_by_omar,reel,13,3,0,193,613877,0.0267154495118728
patisserie,patisserie_h_by_omar,carousel,12,2,0,72,613877,0.0161270091565574
patisserie,patisserie_h_by_omar,carousel,12,2,0,125,613877,0.0087965504490313
patisserie,patisserie_h_by_omar,reel,15,6,0,88,613877,0.0237832660288624
patisserie,patisserie_h_by_omar,reel,16,6,0,102,613877,0.012869027508768
patisserie,patisserie_h_by_omar,photo,14,2,0,65,613877,0.0097739449433681
patisserie,patisserie_h_by_omar,reel,16,6,0,106,613877,0.0426795595860408
patisserie,patisserie_h_by_omar,reel,11,2,0,68,613877,0.0311137247363885
patisserie,patisserie_h_by_omar,reel,12,3,0,69,613877,0.0584807705778193
patisserie,patisserie_h_by_omar,reel,10,4,0,206,613877,0.0224800733697467
patisserie,patisserie_h_by_omar,reel,11,5,0,43,613877,0.0224800733697467
patisserie,patisserie_h_by_omar,carousel,11,0,0,195,613877,0.0221542752049677
patisserie,patisserie_h_by_omar,reel,19,5,0,34,613877,0.0351862017961252
patisserie,patisserie_h_by_omar,reel,21,4,0,34,613877,0.036489394455241
patisserie,patisserie_h_by_omar,reel,12,2,0,76,613877,0.0151496146622206
patisserie,patisserie_h_by_omar,reel,14,4,0,79,613877,0.0382812843615251
patisserie,patisserie_h_by_omar,reel,12,0,0,193,613877,0.0382812843615251
patisserie,patisserie_h_by_omar,reel,9,2,0,81,613877,0.0193849908043468
patisserie,patisserie_h_by_omar,carousel,11,4,0,101,613877,0.0195478898867362
patisserie,patisserie_h_by_omar,reel,15,3,0,37,613877,0.0278557430885991
patisserie,patisserie_h_by_omar,reel,13,2,0,80,613877,0.0172673027332837
patisserie,patisserie_h_by_omar,reel,15,6,0,226,613877,0.1915693208900154
patisserie,patisserie_h_by_omar,carousel,14,4,0,107,613877,0.0161270091565574
patisserie,patisserie_h_by_omar,photo,11,1,0,60,613877,0.0045611743069051
patisserie,patisserie_h_by_omar,reel,13,5,0,115,613877,0.0172673027332837
patisserie,patisserie_h_by_omar,reel,10,0,0,85,613877,0.0379554861967462
patisserie,patisserie_h_by_omar,reel,17,4,0,63,613877,0.0158012109917784
patisserie,patisserie_h_by_omar,photo,16,6,0,136,613877,0.0071675596251366
patisserie,patisserie_h_by_omar,reel,18,3,0,202,613877,0.020525284381073
patisserie,patisserie_h_by_omar,reel,11,3,0,193,613877,0.0366522935376305
patisserie,patisserie_h_by_omar,reel,18,5,0,215,613877,0.0198736880515152
patisserie,patisserie_h_by_omar,reel,18,4,0,200,613877,0.0270412476766518
patisserie,patisserie_h_by_omar,reel,18,0,5,394,613877,0.0135206238383259
patisserie,patisserie_h_by_omar,carousel,11,2,0,173,613877,0.0112400366848733
patisserie,patisserie_h_by_omar,reel,11,5,0,297,613877,0.0236203669464729
patisserie,patisserie_h_by_omar,reel,11,1,0,112,613877,0.0252493577703676
patisserie,patisserie_h_by_omar,reel,15,1,0,177,613877,0.0236203669464729
patisserie,patisserie_h_by_omar,reel,16,6,0,139,613877,0.0127061284263785
patisserie,patisserie_h_by_omar,reel,18,0,0,205,613877,0.0306250274892201
patisserie,patisserie_h_by_omar,reel,18,1,0,209,613877,0.0293218348301044
patisserie,patisserie_h_by_omar,reel,9,5,0,40,613877,0.0135206238383259
patisserie,patisserie_h_by_omar,reel,13,3,0,134,613877,0.0713497980865873
patisserie,patisserie_h_by_omar,reel,11,4,0,204,613877,0.0228058715345256
patisserie,patisserie_h_by_omar,reel,14,1,0,101,613877,0.0216655779577993
patisserie,patisserie_h_by_omar,reel,10,5,0,389,613877,0.0423537614212619
patisserie,patisserie_h_by_omar,reel,11,0,0,165,613877,0.0851962200896922
patisserie,patisserie_h_by_omar,reel,12,2,0,102,613877,0.0319282201483359
patisserie,patisserie_h_by_omar,reel,13,4,0,37,613877,0.5501102012292365
patisserie,patisserie_h_by_omar,reel,10,2,0,200,613877,0.0099368440257576
patisserie,patisserie_h_by_omar,carousel,13,0,0,61,613877,0.0206881834634625
patisserie,patisserie_h_by_omar,reel,16,6,0,173,613877,0.0190591926395678
patisserie,patisserie_h_by_omar,carousel,12,3,0,62,613877,0.0081449541194734
patisserie,patisserie_h_by_omar,reel,15,6,0,135,613877,0.0130319265911575
patisserie,patisserie_h_by_omar,carousel,15,2,0,82,613877,0.0140093210854943
patisserie,patisserie_h_by_omar,reel,11,1,0,216,613877,0.0552227889300299
patisserie,patisserie_h_by_omar,photo,14,1,0,37,613877,0.0122174311792101
patisserie,patisserie_h_by_omar,reel,15,2,0,194,613877,0.0218284770401888
patisserie,mamie.karima,reel,12,3,0,156,375335,0.155061478412618
patisserie,mamie.karima,carousel,13,0,0,21,375335,0.0298400095914316
patisserie,mamie.karima,carousel,20,6,0,4,375335,0.0380992979604886
patisserie,mamie.karima,photo,9,2,0,42,375335,0.0245114364501045
patisserie,mamie.karima,carousel,9,5,0,35,375335,0.1201593243369256
patisserie,mamie.karima,carousel,20,0,0,36,375335,0.1222907535934565
patisserie,mamie.karima,carousel,17,6,5,387,375335,0.1009764610281481
patisserie,mamie.karima,carousel,11,3,0,37,375335,0.1313493279337125
patisserie,mamie.karima,carousel,11,0,0,42,375335,0.02264643585064
patisserie,mamie.karima,carousel,11,4,5,109,375335,0.0317050101908961
patisserie,mamie.karima,reel,10,5,2,187,375335,0.1452036181011629
patisserie,mamie.karima,carousel,18,4,0,31,375335,0.0724685947220483
patisserie,mamie.karima,carousel,21,1,0,15,375335,0.081260740405238
patisserie,mamie.karima,carousel,22,6,0,18,375335,0.0106571462826541
patisserie,mamie.karima,carousel,11,5,0,24,375335,0.0365007260180905
patisserie,mamie.karima,carousel,8,0,0,16,375335,0.0740671666644464
