brand,hour,is_weekend,followers,likes,comments,engagementRate,brand_avg_engagement,relative_engagement,posting_frequency,nbrhashtags,captionlength,ind_BEAUTY,ind_FASHION,ind_HOTELS,ind_PATISSERIE,ind_RESTAURANTS,ctype_carousel,ctype_image,ctype_reel,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
patisseriemasmoudi,8,0,146846,0.0,1.0,0.0031887662110490207,0.20387926383119384,0.015640463630912593,1.5730337078651686,0,31,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,20,1,146846,366.0,4.0,0.2519646432316849,0.20387926383119384,1.2358522318400382,1.5730337078651686,0,156,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
patisseriemasmoudi,10,0,146846,27.0,0.0,0.01838660910069052,0.20387926383119384,0.09018381151265144,1.5730337078651686,0,22,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,20,0,146846,202.0,12.0,0.14573090176102857,0.20387926383119384,0.7147902097669411,1.5730337078651686,0,28,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
patisseriemasmoudi,19,0,146846,22.0,1.0,0.01566266701169933,0.20387926383119384,0.07682324684411049,1.5730337078651686,0,93,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
patisseriemasmoudi,13,1,146846,89.0,3.0,0.06265066804679732,0.20387926383119384,0.30729298737644195,1.5730337078651686,0,210,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
patisseriemasmoudi,12,0,146846,163.0,9.0,0.11712950982662108,0.20387926383119384,0.574504280747261,1.5730337078651686,0,157,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
patisseriemasmoudi,13,0,146846,82.0,2.0,0.057202783868814944,0.20387926383119384,0.28057185803936,1.5730337078651686,0,40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
patisseriemasmoudi,11,0,146846,61.0,2.0,0.042902087901611215,0.20387926383119384,0.21042889352952004,1.5730337078651686,0,221,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
patisseriemasmoudi,18,0,146846,47.0,1.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,0,150,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
